iter	Passed	Remaining
214	338	1236
215	339	1233
216	341	1231
217	342	1229
218	343	1226
219	346	1227
220	347	1225
221	349	1223
222	350	1221
223	351	1218
224	353	1217
225	354	1215
226	356	1213
227	357	1211
228	359	1209
229	360	1207
230	361	1205
231	363	1202
232	364	1200
233	365	1197
234	367	1195
235	368	1192
236	369	1189
237	370	1187
238	372	1184
239	373	1183
240	375	1184
241	377	1182
242	378	1180
243	380	1177
244	381	1174
245	381	1170
246	382	1167
247	384	1164
248	385	1162
249	386	1159
250	387	1156
251	388	1153
252	389	1150
253	390	1146
254	392	1145
255	392	1142
256	394	1141
257	396	1140
258	398	1138
259	399	1137
260	401	1135
261	403	1137
262	405	1137
263	407	1135
264	409	1136
265	411	1135
266	413	1134
267	414	1133
268	416	1131
269	418	1130
270	419	1127
271	420	1125
272	421	1123
273	423	1122
274	424	1119
275	425	1117
276	427	1115
277	428	1113
278	430	1112
279	432	1111
280	433	1108
281	434	1106
282	435	1104
283	437	1101
284	438	1099
285	439	1097
286	440	1094
287	441	1092
288	443	1089
289	444	1087
290	445	1084
291	446	1083
292	448	1081
293	449	1078
294	450	1077
295	451	1074
296	453	1073
297	454	1071
298	456	1069
299	457	1067
300	458	1065
301	460	1063
302	461	1060
303	462	1058
304	463	1055
305	464	1053
306	465	1051
307	466	1048
308	467	1046
309	468	1043
310	470	1041
311	471	1038
312	472	1036
313	473	1034
314	474	1032
315	475	1030
316	477	1027
317	478	1025
318	479	1023
319	480	1021
320	481	1019
321	483	1017
322	484	1015
323	485	1013
324	486	1011
325	488	1009
326	489	1006
327	490	1004
328	491	1003
329	493	1001
330	494	999
331	495	997
332	497	995
333	498	994
334	499	992
335	501	990
336	502	988
337	503	986
338	505	984
339	506	982
340	507	980
341	508	978
342	509	976
343	511	974
344	512	972
345	513	970
346	514	968
347	515	965
348	516	964
349	518	962
350	519	960
351	520	958
352	521	956
353	523	954
354	524	952
355	525	950
356	527	949
357	528	947
358	529	945
359	530	943
360	532	941
361	533	939
362	534	937
363	535	936
364	537	934
365	538	933
366	540	931
367	541	930
368	542	928
369	544	926
370	545	924
371	546	923
372	548	921
373	549	919
374	550	917
375	551	916
376	553	914
377	554	911
378	555	909
379	556	907
380	557	906
381	559	905
382	560	903
383	561	901
384	563	899
385	564	897
386	565	895
387	566	893
388	567	892
389	569	890
390	570	888
391	571	886
392	572	884
393	574	883
394	575	881
395	577	881
396	579	879
397	580	878
398	581	876
399	583	875
400	585	874
401	587	873
402	588	871
403	590	870
404	591	868
405	593	867
406	594	866
407	596	864
408	598	864
409	599	862
410	600	860
411	602	860
412	604	858
413	605	857
414	606	855
415	608	853
416	609	852
417	611	851
418	613	850
419	614	848
420	615	846
421	617	845
422	618	843
423	619	842
424	621	840
425	622	839
426	624	837
427	625	835
428	626	834
429	627	832
430	629	830
431	630	828
432	631	826
433	632	824
434	633	823
435	635	821
436	636	819
437	637	818
438	639	816
439	640	815
440	641	813
441	642	811
442	643	809
443	644	807
444	646	805
445	647	804
446	648	802
447	649	800
448	650	798
449	651	796
450	652	794
451	654	793
452	655	791
453	656	789
454	657	787
455	658	785
456	659	783
457	660	782
458	662	780
459	663	778
460	664	777
461	665	775
462	667	773
463	668	772
464	669	770
465	670	768
466	671	766
467	673	765
468	674	763
469	676	762
470	678	761
471	679	760
472	681	758
473	682	757
474	684	756
475	686	755
